state,year,population
CO,1982,3061564
CT,1982,3139013
DE,1982,599148
DC,1982,634174
FL,1982,10471407
GA,1982,5649792
HI,1982,993780
ID,1982,973721
IL,1982,11423412
IN,1982,5467922
IA,1982,2888189
KS,1982,2401202
KY,1982,3683445
LA,1982,4352608
ME,1982,1136684
MD,1982,4282923
MA,1982,5771222
MI,1982,9115198
MN,1982,4131450
MS,1982,2556777
MO,1982,4929451
MT,1982,803986
NE,1982,1581780
NV,1982,881537
NH,1982,947719
NJ,1982,7430968
NM,1982,1363823
NY,1982,17589738
NC,1982,6019101
ND,1982,668972
OH,1982,10757087
OK,1982,3206123
OR,1982,2664922
PA,1982,11845146
RI,1982,954170
SC,1982,3207614
SD,1982,690597
TN,1982,4646041
TX,1982,15331415
UT,1982,1558314
VT,1982,519109
VA,1982,5492783
WA,1982,4276552
WV,1982,1949604
WI,1982,4728870
WY,1982,506400
AL,1983,3934102
AK,1983,488417
AZ,1983,2968925
AR,1983,2305761
CA,1983,25360026
CO,1983,3133630
CT,1983,3162354
DE,1983,605458
DC,1983,632433
FL,1983,10749851
GA,1983,5728250
HI,1983,1012717
ID,1983,981869
IL,1983,11408818
IN,1983,5450395
IA,1983,2870543
KS,1983,2415531
KY,1983,3694484
LA,1983,4395316
ME,1983,1144772
MD,1983,4313327
MA,1983,5799407
MI,1983,9047754
MN,1983,4141456
MS,1983,2567717
MO,1983,4943733
MT,1983,814031
NE,1983,1584293
NV,1983,901977
NH,1983,958134
NJ,1983,7467785
NM,1983,1394361
NY,1983,17686905
NC,1983,6077056
ND,1983,676688
OH,1983,10737632
OK,1983,3290402
OR,1983,2653066
PA,1983,11837723
RI,1983,956382
SC,1983,3234066
SD,1983,693008
TN,1983,4659749
TX,1983,15751676
UT,1983,1594943
VT,1983,523302
VA,1983,5564657
WA,1983,4300266
WV,1983,1945061
WI,1983,4721438
WY,1983,510345
AL,1984,3951820
AK,1984,513702
AZ,1984,3067135
AR,1984,2319768
CA,1984,25844393
CO,1984,3169992
CT,1984,3180014
DE,1984,611565
DC,1984,633382
FL,1984,11039925
GA,1984,5834954
HI,1984,1027922
ID,1984,990839
IL,1984,11412132
IN,1984,5458322
IA,1984,2858618
KS,1984,2424086
KY,1984,3695453
LA,1984,4400477
ME,1984,1155635
MD,1984,4365243
MA,1984,5840773
MI,1984,9049452
MN,1984,4157706
MS,1984,2578051
MO,1984,4975278
MT,1984,820905
NE,1984,1588639
NV,1984,924922
NH,1984,976864
NJ,1984,7515473
NM,1984,1416717
NY,1984,17745684
NC,1984,6164006
ND,1984,680497
OH,1984,10737746
OK,1984,3285533
OR,1984,2666588
PA,1984,11815172
RI,1984,961894
SC,1984,3271868
SD,1984,697249
TN,1984,4686737
TX,1984,16007086
UT,1984,1622342
VT,1984,526660
VA,1984,5643870
WA,1984,4343656
WV,1984,1927697
WI,1984,4735563
WY,1984,504896
AL,1985,3972523
AK,1985,532495
AZ,1985,3183538
AR,1985,2327046
CA,1985,26441109
CO,1985,3208723
CT,1985,3201131
DE,1985,618280
DC,1985,634549
FL,1985,11351118
GA,1985,5962661
HI,1985,1039698
ID,1985,994051
IL,1985,11399806
IN,1985,5459211
IA,1985,2829684
KS,1985,2427405
KY,1985,3694826
LA,1985,4408118
ME,1985,1162936
MD,1985,4413071
MA,1985,5880733
MI,1985,9076293
MN,1985,4184302
MS,1985,2588102
MO,1985,5000268
MT,1985,822320
NE,1985,1584664
NV,1985,951030
NH,1985,996753
NJ,1985,7565528
NM,1985,1438361
NY,1985,17791672
NC,1985,6253954
ND,1985,676980
OH,1985,10734926
OK,1985,3271332
OR,1985,2672652
PA,1985,11770862
RI,1985,968955
SC,1985,3303209
SD,1985,698402
TN,1985,4715296
TX,1985,16272734
UT,1985,1642910
VT,1985,530035
VA,1985,5715153
WA,1985,4400098
WV,1985,1906831
WI,1985,4747767
WY,1985,499695
AL,1986,3991569
AK,1986,544268
AZ,1986,3308262
AR,1986,2331984
CA,1986,27102237
CO,1986,3237450
CT,1986,3223740
DE,1986,627559
DC,1986,638269
FL,1986,11667505
GA,1986,6084666
HI,1986,1051762
ID,1986,990224
IL,1986,11387257
IN,1986,5454108
IA,1986,2791970
KS,1986,2432619
KY,1986,3687809
LA,1986,4406919
ME,1986,1170126
MD,1986,4486957
MA,1986,5902678
MI,1986,9127775
MN,1986,4205212
MS,1986,2593597
MO,1986,5023068
MT,1986,813739
NE,1986,1574333
NV,1986,980613
NH,1986,1025053
NJ,1986,7622159
NM,1986,1462729
NY,1986,17833419
NC,1986,6321578
ND,1986,669512
OH,1986,10730268
OK,1986,3252735
OR,1986,2683528
PA,1986,11782752
RI,1986,977341
SC,1986,3342758
SD,1986,696034
TN,1986,4738708
TX,1986,16561113
UT,1986,1662834
VT,1986,534066
VA,1986,5811700
WA,1986,4452720
WV,1986,1882350
WI,1986,4755618
WY,1986,495633
AL,1987,4015264
AK,1987,539309
AZ,1987,3437103
AR,1987,2342355
CA,1987,27777158
CO,1987,3260480
CT,1987,3247291
DE,1987,636947
DC,1987,636930
FL,1987,11997283
GA,1987,6208467
HI,1987,1067918
ID,1987,984997
IL,1987,11391178
IN,1987,5473012
IA,1987,2767011
KS,1987,2445367
KY,1987,3683329
LA,1987,4344148
ME,1987,1184574
MD,1987,4565557
MA,1987,5935204
MI,1987,9187481
MN,1987,4235136
MS,1987,2588545
MO,1987,5056696
MT,1987,805063
NE,1987,1566547
NV,1987,1023376
NH,1987,1054289
NJ,1987,7670742
NM,1987,1478520
NY,1987,17868848
NC,1987,6403700
ND,1987,661136
OH,1987,10760090
OK,1987,3210122
OR,1987,2700991
PA,1987,11810866
RI,1987,989604
SC,1987,3380506
SD,1987,696036
TN,1987,4782927
TX,1987,16621791
UT,1987,1678119
VT,1987,540267
VA,1987,5932268
WA,1987,4531901
WV,1987,1857585
WI,1987,4777919
WY,1987,476965
AL,1988,4023844
AK,1988,541983
AZ,1988,3535183
AR,1988,2342656
CA,1988,28464249
CO,1988,3262281
CT,1988,3271953
DE,1988,647622
DC,1988,630432
FL,1988,12306395
GA,1988,6316142
HI,1988,1079828
ID,1988,985664
IL,1988,11390183
IN,1988,5491735
IA,1988,2768388
KS,1988,2461996
KY,1988,3679999
LA,1988,4288863
ME,1988,1203840
MD,1988,4657904
MA,1988,5979982
MI,1988,9217998
MN,1988,4296166
MS,1988,2580352
MO,1988,5081736
MT,1988,800202
NE,1988,1571477
NV,1988,1075022
NH,1988,1082577
NJ,1988,7712333
NM,1988,1490337
NY,1988,17941309
NC,1988,6480594
ND,1988,655331
OH,1988,10798552
OK,1988,3167057
OR,1988,2741297
PA,1988,11845752
RI,1988,996408
SC,1988,3412096
SD,1988,698165
TN,1988,4822437
TX,1988,16667022
UT,1988,1689372
VT,1988,549763
VA,1988,6036909
WA,1988,4639893
WV,1988,1830215
WI,1988,4822388
WY,1988,465101
AL,1989,4030222
AK,1989,547159
AZ,1989,3622185
AR,1989,2346358
CA,1989,29218164
CO,1989,3275818
CT,1989,3283403
DE,1989,658273
DC,1989,624168
FL,1989,12637715
GA,1989,6411099
HI,1989,1094588
ID,1989,994416
IL,1989,11409782
IN,1989,5523693
IA,1989,2770592
KS,1989,2472849
KY,1989,3677306
LA,1989,4252894
ME,1989,1219961
MD,1989,4727301
MA,1989,6015478
MI,1989,9253295
MN,1989,4338057
MS,1989,2574269
MO,1989,5095830
MT,1989,799636
NE,1989,1574864
NV,1989,1137382
NH,1989,1104522
NJ,1989,7726089
NM,1989,1503901
NY,1989,17983086
NC,1989,6565459
ND,1989,646351
OH,1989,10829217
OK,1989,3150307
OR,1989,2790575
PA,1989,11865996
RI,1989,1000666
SC,1989,3456775
SD,1989,696701
TN,1989,4854444
TX,1989,16806735
UT,1989,1705864
VT,1989,557707
VA,1989,6120246
WA,1989,4746316
WV,1989,1806568
WI,1989,4856574
WY,1989,458374
AL,1990,"4,050,055"
AK,1990,"553,290"
AZ,1990,"3,684,097"
AR,1990,"2,356,586"
CA,1990,"29,959,515"
CO,1990,"3,307,618"
CT,1990,"3,291,967"
DE,1990,"669,567"
DC,1990,"605,321"
FL,1990,"13,033,307"
GA,1990,"6,512,602"
HI,1990,"1,113,491"
ID,1990,"1,012,384"
IL,1990,"11,453,316"
IN,1990,"5,557,798"
IA,1990,"2,781,018"
KS,1990,"2,481,349"
KY,1990,"3,694,048"
LA,1990,"4,221,532"
ME,1990,"1,231,719"
MD,1990,"4,799,770"
MA,1990,"6,022,639"
MI,1990,"9,311,319"
MN,1990,"4,389,857"
MS,1990,"2,578,897"
MO,1990,"5,128,880"
MT,1990,"800,204"
NE,1990,"1,581,660"
NV,1990,"1,220,695"
NH,1990,"1,112,384"
NJ,1990,"7,762,963"
NM,1990,"1,521,574"
NY,1990,"18,020,784"
NC,1990,"6,664,016"
ND,1990,"637,685"
OH,1990,"10,864,162"
OK,1990,"3,148,825"
OR,1990,"2,860,375"
PA,1990,"11,903,299"
RI,1990,"1,005,995"
SC,1990,"3,501,155"
SD,1990,"697,101"
TN,1990,"4,894,492"
TX,1990,"17,056,755"
UT,1990,"1,731,223"
VT,1990,"564,798"
VA,1990,"6,216,884"
WA,1990,"4,903,043"
WV,1990,"1,792,548"
WI,1990,"4,904,562"
WY,1990,"453,690"
AL,1991,"4,099,156"
AK,1991,"570,193"
AZ,1991,"3,788,576"
AR,1991,"2,383,144"
CA,1991,"30,470,736"
CO,1991,"3,387,119"
CT,1991,"3,302,895"
DE,1991,"683,080"
DC,1991,"600,870"
FL,1991,"13,369,798"
GA,1991,"6,653,005"
HI,1991,"1,136,754"
ID,1991,"1,041,316"
IL,1991,"11,568,964"
IN,1991,"5,616,388"
IA,1991,"2,797,613"
KS,1991,"2,498,722"
KY,1991,"3,722,328"
LA,1991,"4,253,279"
ME,1991,"1,237,081"
MD,1991,"4,867,641"
MA,1991,"6,018,470"
MI,1991,"9,400,446"
MN,1991,"4,440,859"
MS,1991,"2,598,733"
MO,1991,"5,170,800"
MT,1991,"809,680"
NE,1991,"1,595,919"
NV,1991,"1,296,171"
NH,1991,"1,109,929"
NJ,1991,"7,814,676"
NM,1991,"1,555,305"
NY,1991,"18,122,510"
NC,1991,"6,784,280"
ND,1991,"635,753"
OH,1991,"10,945,762"
OK,1991,"3,175,440"
OR,1991,"2,928,507"
PA,1991,"11,982,164"
RI,1991,"1,010,649"
SC,1991,"3,570,404"
SD,1991,"703,669"
TN,1991,"4,966,587"
TX,1991,"17,398,005"
UT,1991,"1,779,780"
VT,1991,"568,606"
VA,1991,"6,301,217"
WA,1991,"5,025,624"
WV,1991,"1,798,735"
WI,1991,"4,964,343"
WY,1991,"459,260"
AL,1992,"4,154,014"
AK,1992,"588,736"
AZ,1992,"3,915,740"
AR,1992,"2,415,984"
CA,1992,"30,974,659"
CO,1992,"3,495,939"
CT,1992,"3,300,712"
DE,1992,"694,925"
DC,1992,"597,565"
FL,1992,"13,650,553"
GA,1992,"6,817,203"
HI,1992,"1,158,613"
ID,1992,"1,071,685"
IL,1992,"11,694,184"
IN,1992,"5,674,547"
IA,1992,"2,818,401"
KS,1992,"2,532,394"
KY,1992,"3,765,469"
LA,1992,"4,293,003"
ME,1992,"1,238,508"
MD,1992,"4,923,368"
MA,1992,"6,028,709"
MI,1992,"9,479,065"
MN,1992,"4,495,572"
MS,1992,"2,623,734"
MO,1992,"5,217,101"
MT,1992,"825,770"
NE,1992,"1,611,687"
NV,1992,"1,351,367"
NH,1992,"1,117,784"
NJ,1992,"7,880,508"
NM,1992,"1,595,442"
NY,1992,"18,246,653"
NC,1992,"6,897,214"
ND,1992,"638,223"
OH,1992,"11,029,431"
OK,1992,"3,220,517"
OR,1992,"2,991,755"
PA,1992,"12,049,450"
RI,1992,"1,012,581"
SC,1992,"3,620,464"
SD,1992,"712,801"
TN,1992,"5,049,742"
TX,1992,"17,759,738"
UT,1992,"1,836,799"
VT,1992,"572,751"
VA,1992,"6,414,307"
WA,1992,"5,160,757"
WV,1992,"1,806,451"
WI,1992,"5,025,398"
WY,1992,"466,251"
AL,1993,"4,214,202"
AK,1993,"599,432"
AZ,1993,"4,065,440"
AR,1993,"2,456,303"
CA,1993,"31,274,928"
CO,1993,"3,613,734"
CT,1993,"3,309,175"
DE,1993,"706,378"
DC,1993,"595,301"
FL,1993,"13,927,185"
GA,1993,"6,978,240"
HI,1993,"1,172,838"
ID,1993,"1,108,768"
IL,1993,"11,809,579"
IN,1993,"5,739,019"
IA,1993,"2,836,972"
KS,1993,"2,556,547"
KY,1993,"3,812,206"
LA,1993,"4,316,428"
ME,1993,"1,242,302"
MD,1993,"4,971,889"
MA,1993,"6,060,569"
MI,1993,"9,540,114"
MN,1993,"4,555,954"
MS,1993,"2,655,100"
MO,1993,"5,271,175"
MT,1993,"844,761"
NE,1993,"1,625,590"
NV,1993,"1,411,215"
NH,1993,"1,129,458"
NJ,1993,"7,948,915"
NM,1993,"1,636,453"
NY,1993,"18,374,954"
NC,1993,"7,042,818"
ND,1993,"641,216"
OH,1993,"11,101,140"
OK,1993,"3,252,285"
OR,1993,"3,060,367"
PA,1993,"12,119,724"
RI,1993,"1,015,112"
SC,1993,"3,663,314"
SD,1993,"722,159"
TN,1993,"5,137,584"
TX,1993,"18,161,612"
UT,1993,"1,898,404"
VT,1993,"577,748"
VA,1993,"6,509,630"
WA,1993,"5,278,842"
WV,1993,"1,817,539"
WI,1993,"5,084,889"
WY,1993,"473,081"
AL,1994,"4,260,229"
AK,1994,"603,308"
AZ,1994,"4,245,089"
AR,1994,"2,494,019"
CA,1994,"31,484,435"
CO,1994,"3,724,168"
CT,1994,"3,316,121"
DE,1994,"717,545"
DC,1994,"589,239"
FL,1994,"14,239,444"
GA,1994,"7,157,165"
HI,1994,"1,187,536"
ID,1994,"1,145,140"
IL,1994,"11,912,585"
IN,1994,"5,793,526"
IA,1994,"2,850,746"
KS,1994,"2,580,513"
KY,1994,"3,849,088"
LA,1994,"4,347,481"
ME,1994,"1,242,662"
MD,1994,"5,023,060"
MA,1994,"6,095,241"
MI,1994,"9,597,737"
MN,1994,"4,610,355"
MS,1994,"2,688,992"
MO,1994,"5,324,497"
MT,1994,"861,306"
NE,1994,"1,639,041"
NV,1994,"1,499,298"
NH,1994,"1,142,560"
NJ,1994,"8,014,306"
NM,1994,"1,682,398"
NY,1994,"18,459,470"
NC,1994,"7,187,398"
ND,1994,"644,804"
OH,1994,"11,152,454"
OK,1994,"3,280,940"
OR,1994,"3,121,264"
PA,1994,"12,166,050"
RI,1994,"1,015,960"
SC,1994,"3,705,397"
SD,1994,"730,790"
TN,1994,"5,231,438"
TX,1994,"18,564,062"
UT,1994,"1,960,446"
VT,1994,"583,836"
VA,1994,"6,593,139"
WA,1994,"5,375,161"
WV,1994,"1,820,421"
WI,1994,"5,133,678"
WY,1994,"480,283"
AL,1995,"4,296,800"
AK,1995,"604,412"
AZ,1995,"4,432,499"
AR,1995,"2,535,399"
CA,1995,"31,696,582"
CO,1995,"3,826,653"
CT,1995,"3,324,144"
DE,1995,"729,734"
DC,1995,"580,517"
FL,1995,"14,537,875"
GA,1995,"7,328,413"
HI,1995,"1,196,854"
ID,1995,"1,177,322"
IL,1995,"12,008,437"
IN,1995,"5,851,459"
IA,1995,"2,867,373"
KS,1995,"2,601,007"
KY,1995,"3,887,427"
LA,1995,"4,378,779"
ME,1995,"1,243,480"
MD,1995,"5,070,033"
MA,1995,"6,141,445"
MI,1995,"9,676,211"
MN,1995,"4,660,180"
MS,1995,"2,722,659"
MO,1995,"5,378,247"
MT,1995,"876,553"
NE,1995,"1,656,992"
NV,1995,"1,581,578"
NH,1995,"1,157,561"
NJ,1995,"8,083,242"
NM,1995,"1,720,394"
NY,1995,"18,524,104"
NC,1995,"7,344,674"
ND,1995,"647,832"
OH,1995,"11,202,751"
OK,1995,"3,308,208"
OR,1995,"3,184,369"
PA,1995,"12,198,403"
RI,1995,"1,017,002"
SC,1995,"3,748,582"
SD,1995,"737,925"
TN,1995,"5,326,936"
TX,1995,"18,958,751"
UT,1995,"2,014,177"
VT,1995,"589,002"
VA,1995,"6,670,693"
WA,1995,"5,481,027"
WV,1995,"1,823,700"
WI,1995,"5,184,836"
WY,1995,"485,160"
AL,1996,"4,331,102"
AK,1996,"608,569"
AZ,1996,"4,586,940"
AR,1996,"2,572,109"
CA,1996,"32,018,834"
CO,1996,"3,919,972"
CT,1996,"3,336,685"
DE,1996,"740,977"
DC,1996,"572,377"
FL,1996,"14,853,360"
GA,1996,"7,501,069"
HI,1996,"1,203,755"
ID,1996,"1,203,083"
IL,1996,"12,101,997"
IN,1996,"5,906,013"
IA,1996,"2,880,000"
KS,1996,"2,614,554"
KY,1996,"3,919,535"
LA,1996,"4,398,877"
ME,1996,"1,249,060"
MD,1996,"5,111,986"
MA,1996,"6,179,756"
MI,1996,"9,758,645"
MN,1996,"4,712,827"
MS,1996,"2,748,085"
MO,1996,"5,431,553"
MT,1996,"886,254"
NE,1996,"1,673,740"
NV,1996,"1,666,320"
NH,1996,"1,174,719"
NJ,1996,"8,149,596"
NM,1996,"1,752,326"
NY,1996,"18,588,460"
NC,1996,"7,500,670"
ND,1996,"650,382"
OH,1996,"11,242,827"
OK,1996,"3,340,129"
OR,1996,"3,247,111"
PA,1996,"12,220,464"
RI,1996,"1,020,893"
SC,1996,"3,796,200"
SD,1996,"742,213"
TN,1996,"5,416,643"
TX,1996,"19,340,342"
UT,1996,"2,067,976"
VT,1996,"593,701"
VA,1996,"6,750,884"
WA,1996,"5,569,753"
WV,1996,"1,822,808"
WI,1996,"5,229,986"
WY,1996,"488,167"
AL,1997,"4,367,935"
AK,1997,"612,968"
AZ,1997,"4,736,990"
AR,1997,"2,601,090"
CA,1997,"32,486,010"
CO,1997,"4,018,293"
CT,1997,"3,349,348"
DE,1997,"751,487"
DC,1997,"567,736"
FL,1997,"15,186,304"
GA,1997,"7,685,099"
HI,1997,"1,211,640"
ID,1997,"1,228,520"
IL,1997,"12,185,715"
IN,1997,"5,955,267"
IA,1997,"2,891,119"
KS,1997,"2,635,292"
KY,1997,"3,952,747"
LA,1997,"4,421,071"
ME,1997,"1,254,774"
MD,1997,"5,157,328"
MA,1997,"6,226,058"
MI,1997,"9,809,051"
MN,1997,"4,763,390"
MS,1997,"2,777,004"
MO,1997,"5,481,193"
MT,1997,"889,865"
NE,1997,"1,686,418"
NV,1997,"1,764,104"
NH,1997,"1,189,425"
NJ,1997,"8,218,808"
NM,1997,"1,774,839"
NY,1997,"18,656,546"
NC,1997,"7,656,825"
ND,1997,"649,716"
OH,1997,"11,277,357"
OK,1997,"3,372,917"
OR,1997,"3,304,310"
PA,1997,"12,227,814"
RI,1997,"1,025,353"
SC,1997,"3,859,696"
SD,1997,"744,223"
TN,1997,"5,499,233"
TX,1997,"19,740,317"
UT,1997,"2,119,784"
VT,1997,"597,239"
VA,1997,"6,829,183"
WA,1997,"5,674,747"
WV,1997,"1,819,113"
WI,1997,"5,266,213"
WY,1997,"489,451"
AL,1998,"4,404,701"
AK,1998,"619,932"
AZ,1998,"4,883,342"
AR,1998,"2,626,289"
CA,1998,"32,987,675"
CO,1998,"4,116,639"
CT,1998,"3,365,352"
DE,1998,"763,335"
DC,1998,"565,230"
FL,1998,"15,486,559"
GA,1998,"7,863,536"
HI,1998,"1,215,233"
ID,1998,"1,252,330"
IL,1998,"12,271,847"
IN,1998,"5,998,880"
IA,1998,"2,902,872"
KS,1998,"2,660,598"
KY,1998,"3,985,390"
LA,1998,"4,440,344"
ME,1998,"1,259,127"
MD,1998,"5,204,464"
MA,1998,"6,271,838"
MI,1998,"9,847,942"
MN,1998,"4,813,412"
MS,1998,"2,804,834"
MO,1998,"5,521,765"
MT,1998,"892,431"
NE,1998,"1,695,816"
NV,1998,"1,853,191"
NH,1998,"1,205,940"
NJ,1998,"8,287,418"
NM,1998,"1,793,484"
NY,1998,"18,755,906"
NC,1998,"7,809,121"
ND,1998,"647,532"
OH,1998,"11,311,536"
OK,1998,"3,405,194"
OR,1998,"3,352,449"
PA,1998,"12,245,672"
RI,1998,"1,031,155"
SC,1998,"3,919,235"
SD,1998,"746,058"
TN,1998,"5,570,045"
TX,1998,"20,157,531"
UT,1998,"2,165,960"
VT,1998,"600,416"
VA,1998,"6,900,918"
WA,1998,"5,769,562"
WV,1998,"1,815,609"
WI,1998,"5,297,672"
WY,1998,"490,787"
AL,1999,"4,430,141"
AK,1999,"624,779"
AZ,1999,"5,023,823"
AR,1999,"2,651,860"
CA,1999,"33,499,204"
CO,1999,"4,226,018"
CT,1999,"3,386,401"
DE,1999,"774,990"
DC,1999,"570,213"
FL,1999,"15,759,421"
GA,1999,"8,045,965"
HI,1999,"1,210,300"
ID,1999,"1,275,674"
IL,1999,"12,359,020"
IN,1999,"6,044,969"
IA,1999,"2,917,634"
KS,1999,"2,678,338"
KY,1999,"4,018,053"
LA,1999,"4,460,811"
ME,1999,"1,266,808"
MD,1999,"5,254,509"
MA,1999,"6,317,345"
MI,1999,"9,897,116"
MN,1999,"4,873,481"
MS,1999,"2,828,408"
MO,1999,"5,561,948"
MT,1999,"897,507"
NE,1999,"1,704,764"
NV,1999,"1,934,718"
NH,1999,"1,222,014"
NJ,1999,"8,359,592"
NM,1999,"1,808,082"
NY,1999,"18,882,725"
NC,1999,"7,949,361"
ND,1999,"644,259"
OH,1999,"11,335,454"
OK,1999,"3,437,147"
OR,1999,"3,393,941"
PA,1999,"12,263,805"
RI,1999,"1,040,402"
SC,1999,"3,974,682"
SD,1999,"750,412"
TN,1999,"5,638,706"
TX,1999,"20,558,220"
UT,1999,"2,203,482"
VT,1999,"604,683"
VA,1999,"7,000,174"
WA,1999,"5,842,564"
WV,1999,"1,811,799"
WI,1999,"5,332,666"
WY,1999,"491,780"
AL,2000,"4,452,173"
AK,2000,"627,963"
AZ,2000,"5,160,586"
AR,2000,"2,678,588"
CA,2000,"33,987,977"
CO,2000,"4,326,921"
CT,2000,"3,411,777"
DE,2000,"786,373"
DC,2000,"572,046"
FL,2000,"16,047,515"
GA,2000,"8,227,303"
HI,2000,"1,213,519"
ID,2000,"1,299,430"
IL,2000,"12,434,161"
IN,2000,"6,091,866"
IA,2000,"2,929,067"
KS,2000,"2,693,681"
KY,2000,"4,049,021"
LA,2000,"4,471,885"
ME,2000,"1,277,072"
MD,2000,"5,311,034"
MA,2000,"6,361,104"
MI,2000,"9,952,450"
MN,2000,"4,933,692"
MS,2000,"2,848,353"
MO,2000,"5,607,285"
MT,2000,"903,773"
NE,2000,"1,713,820"
NV,2000,"2,018,741"
NH,2000,"1,239,882"
NJ,2000,"8,430,621"
NM,2000,"1,821,204"
NY,2000,"19,001,780"
NC,2000,"8,081,614"
ND,2000,"642,023"
OH,2000,"11,363,543"
OK,2000,"3,454,365"
OR,2000,"3,429,708"
PA,2000,"12,284,173"
RI,2000,"1,050,268"
SC,2000,"4,024,223"
SD,2000,"755,844"
TN,2000,"5,703,719"
TX,2000,"20,944,499"
UT,2000,"2,244,502"
VT,2000,"609,618"
VA,2000,"7,105,817"
WA,2000,"5,910,512"
WV,2000,"1,807,021"
WI,2000,"5,373,999"
WY,2000,"494,300"
AL,2001,"4,467,634"
AK,2001,"633,714"
AZ,2001,"5,273,477"
AR,2001,"2,691,571"
CA,2001,"34,479,458"
CO,2001,"4,425,687"
CT,2001,"3,432,835"
DE,2001,"795,699"
DC,2001,"574,504"
FL,2001,"16,356,966"
GA,2001,"8,377,038"
HI,2001,"1,225,948"
ID,2001,"1,319,962"
IL,2001,"12,488,445"
IN,2001,"6,127,760"
IA,2001,"2,931,997"
KS,2001,"2,702,162"
KY,2001,"4,068,132"
LA,2001,"4,477,875"
ME,2001,"1,285,692"
MD,2001,"5,374,691"
MA,2001,"6,397,634"
MI,2001,"9,991,120"
MN,2001,"4,982,796"
MS,2001,"2,852,994"
MO,2001,"5,641,142"
MT,2001,"906,961"
NE,2001,"1,719,836"
NV,2001,"2,098,399"
NH,2001,"1,255,517"
NJ,2001,"8,492,671"
NM,2001,"1,831,690"
NY,2001,"19,082,838"
NC,2001,"8,210,122"
ND,2001,"639,062"
OH,2001,"11,387,404"
OK,2001,"3,467,100"
OR,2001,"3,467,937"
PA,2001,"12,298,970"
RI,2001,"1,057,142"
SC,2001,"4,064,995"
SD,2001,"757,972"
TN,2001,"5,750,789"
TX,2001,"21,319,622"
UT,2001,"2,283,715"
VT,2001,"612,223"
VA,2001,"7,198,362"
WA,2001,"5,985,722"
WV,2001,"1,801,481"
WI,2001,"5,406,835"
WY,2001,"494,657"
AL,2002,"4,480,089"
AK,2002,"642,337"
AZ,2002,"5,396,255"
AR,2002,"2,705,927"
CA,2002,"34,871,843"
CO,2002,"4,490,406"
CT,2002,"3,458,749"
DE,2002,"806,169"
DC,2002,"573,158"
FL,2002,"16,689,370"
GA,2002,"8,508,256"
HI,2002,"1,239,613"
ID,2002,"1,340,372"
IL,2002,"12,525,556"
IN,2002,"6,155,967"
IA,2002,"2,934,234"
KS,2002,"2,713,535"
KY,2002,"4,089,875"
LA,2002,"4,497,267"
ME,2002,"1,295,960"
MD,2002,"5,440,389"
MA,2002,"6,417,206"
MI,2002,"10,015,710"
MN,2002,"5,018,935"
MS,2002,"2,858,681"
MO,2002,"5,674,825"
MT,2002,"911,667"
NE,2002,"1,728,292"
NV,2002,"2,173,791"
NH,2002,"1,269,089"
NJ,2002,"8,552,643"
NM,2002,"1,855,309"
NY,2002,"19,137,800"
NC,2002,"8,326,201"
ND,2002,"638,168"
OH,2002,"11,407,889"
OK,2002,"3,489,080"
OR,2002,"3,513,424"
PA,2002,"12,331,031"
RI,2002,"1,065,995"
SC,2002,"4,107,795"
SD,2002,"760,020"
